código,nome,nome completo,ispb
324.0,CARTOS SCD S.A.,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.,21332862
325.0,ÓRAMA DTVM S.A.,Órama Distribuidora de Títulos e Valores Mobiliários S.A.,13293225
326.0,PARATI - CFI S.A.,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",03311443
328.0,CECM FABRIC CALÇADOS SAPIRANGA,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA,05841967
329.0,QI SCD S.A.,QI Sociedade de Crédito Direto S.A.,32402502
330.0,BANCO BARI S.A.,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,00556603
331.0,FRAM CAPITAL DTVM S.A.,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.,13673855
332.0,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,13140088
334.0,BANCO BESA S.A.,BANCO BESA S.A.,15124464
335.0,BANCO DIGIO,Banco Digio S.A.,27098060
336.0,BCO C6 S.A.,Banco C6 S.A.,31872495
340.0,SUPERDIGITAL I.P. S.A.,SUPERDIGITAL INSTITUIÇÃO DE PAGAMENTO S.A.,09554480
341.0,ITAÚ UNIBANCO S.A.,ITAÚ UNIBANCO S.A.,60701190
342.0,CREDITAS SCD,Creditas Sociedade de Crédito Direto S.A.,32997490
343.0,FFA SCMEPP LTDA.,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,24537861
348.0,BCO XP S.A.,Banco XP S.A.,33264668
349.0,AL5 S.A. CFI,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",27214112
